study_hours,attendance,sleep_hours,previous_gpa,assignments_completed,internet_hours,parent_education,extracurricular_hours,monthly_expense,exam_score
4.74,95.95,6.77,3.77,10,1.86,3,1.75,14857.61,100.0
8.51,72.82,6.26,2.69,7,1.81,2,1.33,9848.56,100.0
6.92,80.24,8.14,2.88,5,2.3,2,1.36,11521.58,100.0
11.54,77.84,6.33,2.07,7,4.03,2,0.0,5869.21,100.0
4.64,89.88,9.01,2.56,8,3.16,3,3.21,17392.32,100.0
4.57,100.0,7.75,3.53,6,0.5,3,0.0,14409.37,100.0
5.12,72.69,6.46,3.89,6,0.5,2,0.66,12200.47,100.0
1.62,73.11,9.37,2.32,8,2.41,1,0.0,17591.26,97.89
5.29,88.44,6.33,2.67,7,4.32,2,2.37,20183.82,100.0
4.75,84.82,7.82,2.99,8,0.5,1,2.27,30559.19,100.0
6.85,96.47,7.33,3.15,6,2.6,2,2.01,8928.7,100.0
7.29,83.84,8.43,2.55,7,2.55,3,0.94,24956.29,100.0
10.82,74.41,8.72,3.23,6,6.0,3,0.74,23838.61,100.0
8.69,83.91,7.04,2.74,9,2.81,3,3.2,13325.44,100.0
5.17,89.09,6.17,2.99,10,4.19,3,1.67,19219.42,100.0
4.43,86.2,7.51,3.3,4,3.75,2,2.97,15254.2,100.0
7.63,83.07,6.25,3.0,6,0.5,3,1.17,19114.13,100.0
3.46,88.67,9.21,2.76,5,4.88,2,2.77,27054.79,100.0
10.71,89.69,7.15,2.94,6,3.89,1,4.45,21633.64,100.0
9.21,91.82,6.6,2.95,7,4.41,0,3.38,21051.65,100.0
5.42,84.49,7.2,2.8,5,10.0,2,1.88,15418.14,100.0
2.56,76.33,5.52,2.86,6,0.5,2,2.89,9095.66,100.0
9.61,79.47,5.93,3.88,5,6.6,2,2.14,16749.19,100.0
6.24,90.07,8.32,3.31,8,2.98,3,2.51,25239.65,100.0
9.35,69.83,6.28,2.84,8,4.02,1,2.01,8836.99,100.0
2.83,81.69,5.85,3.38,6,3.42,1,2.25,11669.46,100.0
5.12,74.07,7.59,2.82,8,2.74,4,2.82,18757.61,100.0
6.51,78.29,8.3,3.65,6,2.47,1,1.01,12092.07,100.0
6.61,90.78,7.79,3.2,7,4.09,2,0.98,13244.86,100.0
5.46,79.91,8.1,2.94,10,0.77,2,0.42,15458.41,100.0
7.93,78.46,6.17,3.25,10,4.85,2,0.1,9806.3,100.0
4.04,64.4,5.44,2.14,5,2.75,1,0.67,12155.27,88.18
6.17,85.46,8.65,2.38,9,1.47,1,2.74,22220.57,100.0
6.78,84.45,6.65,2.34,9,2.69,1,1.16,10155.78,100.0
7.68,99.63,6.72,3.08,5,5.76,2,3.27,8412.77,100.0
8.14,74.92,8.46,3.95,9,2.54,2,2.55,14219.85,100.0
3.91,80.19,7.61,4.0,10,4.15,1,0.0,22391.73,100.0
2.97,80.49,7.5,3.35,5,2.18,2,3.48,16818.47,100.0
9.44,93.77,9.38,3.28,6,4.86,3,3.72,15212.51,100.0
7.26,77.05,6.29,2.01,10,4.73,0,1.01,18266.15,100.0
4.78,80.79,8.02,2.7,8,6.83,2,3.13,7525.76,100.0
10.07,84.08,7.06,2.57,9,3.18,3,1.22,20968.23,100.0
6.77,79.87,7.3,2.66,8,4.7,2,2.65,20300.61,100.0
9.21,73.54,8.68,2.91,8,3.68,2,0.6,15544.15,100.0
6.66,79.94,7.56,2.74,5,5.83,2,0.0,24035.55,100.0
11.24,88.74,7.59,1.91,10,2.21,3,1.93,11235.02,100.0
10.54,67.73,8.18,3.41,10,4.84,3,2.31,24767.45,100.0
5.93,79.33,6.6,2.41,7,3.15,2,1.9,18926.96,100.0
8.73,71.0,6.08,3.13,7,3.38,3,0.72,15980.68,100.0
7.98,89.95,5.85,4.0,4,3.67,2,1.9,17880.76,100.0
9.65,62.77,4.84,2.49,9,3.95,2,2.9,17356.41,100.0
4.28,72.41,9.26,1.61,9,3.29,2,2.43,25321.7,100.0
8.08,81.77,5.79,2.84,7,3.89,1,2.77,11539.93,100.0
8.93,93.66,6.76,3.61,10,6.34,3,1.49,13424.88,100.0
2.45,77.34,6.7,4.0,7,5.27,2,4.26,24217.82,100.0
3.78,72.45,7.34,2.32,9,5.06,2,0.74,14426.79,100.0
1.81,96.81,7.9,3.27,5,2.68,3,3.23,23403.2,100.0
5.88,63.52,7.95,2.74,7,1.9,0,4.27,28196.62,100.0
8.15,56.01,6.36,2.94,7,5.22,2,3.22,15589.23,100.0
9.96,82.4,6.82,4.0,8,5.08,1,2.2,22088.17,100.0
6.67,72.98,7.31,2.17,7,6.15,3,1.71,11077.85,100.0
10.25,67.79,6.73,3.14,7,2.41,3,4.05,22528.4,100.0
3.33,85.08,8.77,3.26,9,3.09,2,0.37,19196.54,100.0
2.58,80.44,7.54,3.6,7,0.55,3,1.04,20838.23,100.0
6.37,72.36,7.81,3.05,4,2.79,2,1.9,14126.57,100.0
7.38,65.2,7.73,3.17,10,5.29,3,4.36,8033.5,100.0
6.42,86.72,8.29,2.78,10,2.66,2,3.07,21019.51,100.0
1.74,84.5,7.2,3.15,5,4.65,2,1.05,5619.58,100.0
6.3,77.01,5.57,2.81,9,3.16,4,2.03,16095.9,100.0
3.5,96.47,7.44,3.34,6,4.08,2,1.58,23647.09,100.0
8.04,67.3,6.28,2.8,8,1.43,1,1.44,19151.39,100.0
7.34,62.74,6.42,3.21,8,3.65,2,3.97,29690.06,100.0
4.34,71.08,7.65,2.98,7,0.5,4,0.44,24150.65,100.0
5.32,77.54,8.36,3.62,6,3.16,2,4.91,14076.61,100.0
4.06,80.43,7.02,2.97,6,0.57,1,3.74,18163.88,100.0
6.36,75.59,7.34,2.02,6,5.67,2,4.14,17715.78,100.0
8.7,81.52,8.87,3.69,6,4.9,2,1.81,8506.94,100.0
4.23,65.48,7.26,2.5,7,4.34,1,2.28,12357.61,100.0
7.66,92.44,9.86,2.64,6,6.24,3,0.35,14635.43,100.0
5.28,77.18,7.62,2.67,9,1.79,4,1.71,5782.68,100.0
4.68,89.17,5.06,3.76,10,6.65,2,3.24,18284.96,100.0
6.25,81.43,7.83,1.83,6,5.18,2,4.44,16505.57,100.0
4.12,82.57,7.42,4.0,8,3.07,2,0.84,7962.64,100.0
5.23,83.7,8.42,3.58,8,5.54,1,1.95,20425.28,100.0
3.74,82.48,7.74,3.12,8,1.51,3,2.27,22295.24,100.0
11.02,84.43,6.85,2.97,8,2.02,2,0.41,19362.21,100.0
6.58,91.29,5.65,3.16,9,2.4,2,3.39,16055.59,100.0
4.89,79.97,6.77,3.29,8,2.55,3,1.41,21548.65,100.0
6.99,85.09,6.06,3.35,5,1.6,2,2.21,22081.32,100.0
6.24,77.1,6.36,3.31,9,5.7,2,1.82,19844.42,100.0
5.99,92.4,7.65,3.05,9,3.03,1,1.32,13052.33,100.0
7.91,71.24,8.84,2.89,6,4.13,3,2.49,19659.6,100.0
8.24,96.01,7.43,2.92,8,2.47,4,2.18,25172.88,100.0
5.28,77.6,5.68,2.89,9,0.5,2,1.94,14420.23,100.0
5.18,63.69,7.49,3.62,7,3.99,4,1.41,30587.64,100.0
5.87,79.28,8.32,3.33,10,0.5,1,2.98,14846.21,100.0
1.21,71.19,6.33,1.5,10,3.38,2,4.98,18194.44,96.21
3.02,86.41,6.85,3.36,6,1.04,2,2.71,13965.09,100.0
9.64,71.47,7.02,3.11,5,7.08,2,3.99,19339.63,100.0
10.28,73.54,6.14,2.99,8,5.14,2,0.41,7546.67,100.0
5.93,59.1,7.71,2.79,9,3.69,2,2.74,14723.75,100.0
7.83,73.48,6.87,3.62,7,5.77,1,0.85,11447.27,100.0
7.22,53.76,7.46,3.52,10,1.98,2,0.28,18812.03,100.0
12.0,62.16,6.02,2.57,5,4.48,1,1.39,23966.68,100.0
9.08,85.6,6.52,3.22,9,3.86,3,4.29,21876.04,100.0
6.21,85.86,7.79,2.47,6,3.98,1,3.93,5000.0,100.0
4.3,82.25,6.59,2.24,10,5.79,1,2.86,30252.42,100.0
2.81,68.33,8.9,2.66,10,4.82,2,0.2,19771.68,100.0
6.97,77.52,6.56,3.47,6,4.02,2,2.21,13341.01,100.0
4.76,77.96,7.25,3.52,6,0.52,3,2.95,18942.77,100.0
3.23,66.42,8.03,3.28,9,1.77,2,2.76,19057.14,100.0
5.01,93.03,5.44,3.4,7,3.28,2,0.0,13998.91,100.0
4.01,86.77,5.06,3.28,7,3.67,3,1.16,19187.5,100.0
10.38,75.79,5.32,2.65,8,1.47,2,2.4,14355.17,100.0
8.53,78.27,8.39,3.24,4,7.84,1,3.3,15573.83,100.0
6.48,80.08,6.39,3.44,7,6.23,2,0.0,13882.33,100.0
9.9,57.58,9.81,3.41,6,4.58,3,2.26,9403.97,100.0
6.68,75.53,6.38,3.65,7,3.63,2,2.71,18875.02,100.0
4.52,71.18,7.2,3.39,10,3.12,2,3.77,21511.8,100.0
10.0,67.98,8.7,3.19,5,1.79,1,3.54,21089.3,100.0
7.74,75.19,9.21,3.59,9,3.64,1,3.37,22919.55,100.0
4.11,95.98,9.27,2.99,7,3.96,2,1.3,19946.04,100.0
6.06,84.41,8.33,2.51,7,1.26,2,0.0,14803.65,100.0
4.49,72.29,8.13,2.91,9,4.1,1,1.91,23037.98,100.0
3.32,83.73,7.65,2.59,8,3.22,4,4.0,9854.89,100.0
