,gender,matric_%,study_year,faculty,gpa_2023,accomodation,allowance,scholarship,study_hours,party_week,drinks_night,missed_classes,failed_classes,in_relationship,parent_approve,relation_parent
201,Male,67.0,1st Year,Economic & Management Sciences,77.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,5-8,2,8+,0,0,No,Yes,Very close
202,Female,71.0,1st Year,Economic & Management Sciences,62.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,Only weekends,1-3,0,1,No,Yes,Very close
204,Male,78.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,0,0,0,1,No,No,Very close
205,Female,83.0,1st Year,Economic & Management Sciences,84.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,2,0,0,0,Yes,Yes,Fair
206,Female,76.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,Only weekends,3-5,0,1,No,Yes,Very close
207,Female,75.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 8000+,No,0,3,8+,1,0,Yes,Yes,Very close
208,Male,80.0,3rd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,5-8,3,0,Yes,Yes,Very close
209,Female,78.0,1st Year,Economic & Management Sciences,80.0,Non-private accommodation ie. Res,R 6001 - R 7000,No,1-3,2,5-8,1,0,Yes,Yes,Close
210,Female,67.0,1st Year,Economic & Management Sciences,78.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,5-8,1,1,Yes,Yes,Very close
211,Female,70.0,2nd Year,Economic & Management Sciences,76.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,2,3-5,1,0,No,Yes,Very close
212,Female,67.0,2nd Year,Arts & Social Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,1-3,0,2,No,No,Close
213,Male,85.0,3rd Year,Science,65.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,3-5,0,5-8,0,2,No,Yes,Close
214,Female,73.0,2nd Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,1-3,0,2,No,No,Fair
215,Male,84.0,2nd Year,Economic & Management Sciences,67.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,8+,1,0,No,Yes,Very close
216,Male,76.0,1st Year,Economic & Management Sciences,59.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,8+,2,0,No,Yes,Very close
217,Female,65.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,0,2,No,No,Close
218,Male,87.0,3rd Year,Economic & Management Sciences,74.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,2,8+,3,0,No,Yes,Very close
219,Male,72.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,5-8,0,0,No,Yes,Close
220,Female,78.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,2,5-8,4+,4+,Yes,Yes,Very close
221,Male,80.0,2nd Year,Engineering,65.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,1,1-3,1,4+,Yes,No,Fair
222,Female,67.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,3,5-8,2,0,No,Yes,Close
223,Male,72.0,1st Year,Arts & Social Sciences,64.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,8+,0,0,No,Yes,Very close
225,Female,75.0,2nd Year,Economic & Management Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,0,1-3,0,0,Yes,Yes,Very close
226,Female,82.0,2nd Year,Economic & Management Sciences,72.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,3,1-3,0,0,No,Yes,Close
229,Male,82.0,3rd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,3-5,0,0,Yes,Yes,Close
230,Female,80.0,3rd Year,Education,74.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,5-8,2,1-3,0,0,No,Yes,Very close
231,Female,65.0,3rd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,0,1,No,No,Very close
233,Male,85.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,5-8,2,2,No,Yes,Very close
234,Male,69.0,2nd Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,1,3-5,0,1,Yes,Yes,Very close
235,Female,68.0,1st Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,0,0,0,1,No,No,Very close
236,Male,72.0,1st Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,3,8+,2,0,No,Yes,Very close
237,Male,84.0,1st Year,Science,92.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,3-5,Only weekends,8+,0,0,Yes,Yes,Very close
238,Male,70.0,3rd Year,Economic & Management Sciences,53.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,8+,4+,4+,Yes,Yes,Very close
239,Male,82.0,3rd Year,Economic & Management Sciences,77.0,Non-private accommodation ie. Res,R 5001 - R 6000,"Yes (NSFAS, etc...)",8+,0,0,0,0,No,Yes,Close
240,Male,84.0,4th Year,Economic & Management Sciences,63.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,5-8,0,4+,Yes,Yes,Close
241,Female,70.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,1,0,Yes,Yes,Very close
242,Female,78.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,3,5-8,0,4+,No,Yes,Very close
243,Female,95.0,2nd Year,Engineering,87.6,Private accommodation/ stay with family/friends,R 8000+,No,8+,Only weekends,1-3,0,0,No,Yes,Very close
244,Female,75.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,Only weekends,1-3,0,0,Yes,No,Close
245,Female,80.0,4th Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,1,1-3,1,4+,No,Yes,Very close
247,Male,86.0,1st Year,Science,73.0,Non-private accommodation ie. Res,R 7001 - R 8000,No,8+,2,3-5,4+,0,No,Yes,Very close
248,Male,84.0,1st Year,Science,76.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,3-5,2,0,No,Yes,Very close
249,Female,82.0,2nd Year,Arts & Social Sciences,68.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,8+,1,3,No,Yes,Very close
250,Male,73.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,1-3,1,3,No,No,Close
251,Female,75.0,1st Year,AgriSciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,1-3,2,0,Yes,Yes,Close
252,Male,74.0,1st Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,1,8+,1,0,No,Yes,Very close
255,Male,68.0,1st Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,3,8+,4+,1,No,No,Very close
256,Male,78.0,1st Year,Science,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,3,3-5,4+,0,No,No,Very close
259,Male,77.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,8+,2,0,No,Yes,Close
260,Female,79.0,1st Year,Economic & Management Sciences,71.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,2,5-8,0,0,Yes,No,Fair
262,Male,78.0,1st Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,8+,2,2,No,Yes,Fair
263,Male,86.4,1st Year,Engineering,57.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,2,8+,2,0,Yes,Yes,Very close
266,Male,82.0,Postgraduate,Engineering,62.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,8+,0,1,Yes,Yes,Very close
268,Male,60.0,1st Year,Economic & Management Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,5-8,0,0,Yes,Yes,Very close
269,Male,84.0,1st Year,Science,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",5-8,2,3-5,0,0,No,Yes,Very close
271,Male,75.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,4+,5-8,4+,0,Yes,Yes,Close
272,Male,81.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,8+,2,3,Yes,Yes,Very close
273,Female,85.0,2nd Year,Science,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,1-3,1,2,No,Yes,Very close
274,Male,95.5,Postgraduate,Engineering,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,3,8+,0,0,Yes,Yes,Fair
277,Male,76.0,1st Year,Science,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,8+,1,1,No,Yes,Close
278,Male,87.0,1st Year,Economic & Management Sciences,72.0,Non-private accommodation ie. Res,R 4001- R 5000,No,5-8,1,5-8,1,0,No,Yes,Very close
279,Female,68.0,2nd Year,Arts & Social Sciences,69.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,1-3,0,0,Yes,Yes,Fair
283,Male,72.0,3rd Year,Law,68.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,3,5-8,0,0,Yes,Yes,Close
284,Male,76.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,3,5-8,2,1,Yes,Yes,Close
286,Female,71.0,1st Year,Education,67.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,2,5-8,3,1,No,Yes,Very close
287,Female,72.0,1st Year,AgriSciences,77.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,3-5,0,0,Yes,Yes,Very close
289,Female,78.0,2nd Year,Arts & Social Sciences,83.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,Only weekends,3-5,0,0,No,Yes,Very close
291,Female,87.0,2nd Year,Science,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,1-3,0,1,Yes,Yes,Very close
292,Female,76.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
293,Male,76.0,2nd Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,3,5-8,0,2,No,Yes,Very close
294,Female,94.0,2nd Year,Economic & Management Sciences,67.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,Only weekends,1-3,0,1,No,Yes,Very close
295,Female,78.0,1st Year,Engineering,58.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,3-5,2,0,No,Yes,Very close
297,Female,84.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,5-8,3,0,Yes,Yes,Close
299,Female,79.0,2nd Year,Economic & Management Sciences,77.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,1-3,0,0,Yes,Yes,Close
301,Male,80.0,2nd Year,Science,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,1,No,Yes,Close
303,Male,67.0,1st Year,Economic & Management Sciences,30.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,4+,8+,4+,4+,No,Yes,Very close
304,Female,76.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,8+,1,4+,No,Yes,Very close
305,Male,72.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,1,8+,0,0,Yes,Yes,Fair
306,Male,73.0,1st Year,Arts & Social Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,2,5-8,1,0,No,Yes,Very close
307,Male,78.0,1st Year,Economic & Management Sciences,83.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,3,8+,2,0,Yes,Yes,Very close
309,Male,82.0,1st Year,Engineering,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,3-5,0,0,No,Yes,Very close
310,Female,75.0,1st Year,Economic & Management Sciences,89.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,0,3-5,0,0,Yes,Yes,Very close
311,Male,67.0,2nd Year,Economic & Management Sciences,81.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,5-8,1,1,No,Yes,Very close
312,Female,78.0,2nd Year,Economic & Management Sciences,71.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,2,3-5,2,0,No,Yes,Fair
313,Female,79.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,3-5,0,0,Yes,Yes,Very close
314,Female,89.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,3,3-5,1,0,Yes,Yes,Very close
316,Male,73.0,2nd Year,Medicine and Health Services,62.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,0,No,Yes,Close
317,Male,85.0,2nd Year,Economic & Management Sciences,58.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,1,8+,2,1,No,Yes,Close
318,Male,72.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,0,1,3-5,0,4+,No,Yes,Fair
319,Female,83.0,2nd Year,Arts & Social Sciences,72.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,5-8,2,0,No,Yes,Very close
320,Male,83.0,2nd Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,3-5,2,2,Yes,Yes,Very close
321,Female,78.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",1-3,1,3-5,1,1,Yes,Yes,Close
322,Male,66.0,3rd Year,AgriSciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,1,2,No,Yes,Very close
323,Male,80.0,1st Year,Science,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,8+,3,1,Yes,Yes,Very close
324,Female,90.0,3rd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,1-3,0,0,Yes,Yes,Very close
326,Male,82.0,3rd Year,Engineering,74.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,0,5-8,0,0,Yes,Yes,Close
327,Male,77.0,3rd Year,Law,63.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,1,8+,3,1,No,Yes,Close
328,Female,83.0,3rd Year,Engineering,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,1,1,Yes,Yes,Very close
329,Male,76.0,2nd Year,Science,58.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,1,5-8,2,0,No,Yes,Very close
330,Male,77.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,8+,2,2,No,No,Close
331,Female,76.0,3rd Year,Science,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,3,1-3,0,0,Yes,Yes,Very close
332,Female,73.0,1st Year,Engineering,59.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,1-3,0,0,Yes,Yes,Very close
333,Male,74.0,2nd Year,Economic & Management Sciences,56.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,1-3,1,0,Yes,No,Fair
334,Male,68.0,1st Year,Arts & Social Sciences,54.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,2,5-8,2,2,No,No,Close
335,Female,55.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,0,0,0,4+,No,Yes,Fair
336,Male,80.0,2nd Year,Law,60.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,1,5-8,0,3,Yes,Yes,Fair
338,Female,65.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,4+,8+,0,0,No,Yes,Very close
339,Male,75.0,3rd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
340,Male,76.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,3,8+,2,0,Yes,No,Very close
341,Male,71.0,1st Year,Economic & Management Sciences,77.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,1,0,No,Yes,Very close
342,Female,85.0,2nd Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,2,No,Yes,Close
344,Male,70.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,1,0,Yes,No,Very close
345,Female,74.0,2nd Year,Medicine and Health Services,69.7,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,3,8+,2,0,Yes,Yes,Very close
346,Male,86.0,2nd Year,Economic & Management Sciences,85.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,1,3-5,0,2,Yes,Yes,Fair
347,Male,83.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,3,8+,2,1,Yes,Yes,Close
348,Male,78.0,2nd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,5-8,0,3,No,Yes,Close
349,Male,83.0,2nd Year,Economic & Management Sciences,63.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,4+,3-5,1,0,No,No,Very close
350,Male,78.0,3rd Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,2,0,0,1,No,Yes,Fair
351,Female,76.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,3,3-5,2,0,Yes,Yes,Close
353,Male,78.0,1st Year,Economic & Management Sciences,85.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,5-8,1,0,No,Yes,Very close
354,Male,75.0,3rd Year,Engineering,59.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,3-5,0,2,Yes,No,Close
355,Female,87.0,2nd Year,Economic & Management Sciences,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,1-3,0,0,No,No,Fair
356,Male,77.0,1st Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,4+,1-3,0,0,Yes,Yes,Very close
357,Male,85.0,Postgraduate,AgriSciences,78.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,8+,0,0,Yes,Yes,Very close
358,Male,60.0,2nd Year,Arts & Social Sciences,50.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,5-8,0,3,No,Yes,Fair
361,Male,80.0,2nd Year,Science,50.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,1-3,0,3,No,No,Close
362,Female,80.0,3rd Year,Law,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,Only weekends,1-3,1,1,No,No,Fair
364,Male,75.0,1st Year,Science,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,3-5,0,0,No,Yes,Very close
366,Male,76.0,1st Year,Science,56.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,0,0,0,1,No,Yes,Very close
368,Female,83.0,1st Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,3-5,0,0,No,Yes,Very close
369,Male,80.0,1st Year,Arts & Social Sciences,74.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,5-8,1,0,Yes,Yes,Very close
371,Female,70.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,No,Yes,Close
372,Male,86.0,2nd Year,Economic & Management Sciences,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,2,0,Yes,Yes,Very close
376,Female,85.0,1st Year,Medicine and Health Services,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,3-5,3,0,Yes,Yes,Very close
377,Male,79.0,1st Year,Economic & Management Sciences,83.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,3,1-3,0,0,Yes,Yes,Very close
378,Male,70.0,2nd Year,Economic & Management Sciences,56.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,4+,8+,2,3,No,Yes,Very close
380,Female,75.0,1st Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,0,2,Yes,Yes,Very close
381,Female,78.0,2nd Year,Medicine and Health Services,79.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,1-3,0,0,Yes,Yes,Very close
383,Male,76.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,1,No,Yes,Very close
384,Male,76.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,0,0,No,Yes,Very close
385,Female,85.0,1st Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,3,3-5,2,0,Yes,Yes,Close
387,Female,86.0,1st Year,Science,71.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,0,0,0,Yes,Yes,Very close
388,Male,78.0,3rd Year,Law,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,1,1-3,1,0,Yes,Yes,Close
392,Male,64.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 8000+,No,0,4+,8+,0,1,Yes,Yes,Very close
393,Female,78.0,1st Year,Economic & Management Sciences,51.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,5-8,1,0,No,Yes,Close
394,Male,76.0,1st Year,Science,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,1,1,No,Yes,Close
395,Male,75.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 8000+,No,0,4+,8+,4+,0,No,No,Very close
396,Female,78.0,2nd Year,Medicine and Health Services,74.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,0,0,No,Yes,Very close
397,Male,86.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,2,3-5,2,0,Yes,Yes,Fair
398,Female,74.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,Only weekends,1-3,0,3,No,No,Close
402,Female,73.0,2nd Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",5-8,1,8+,0,0,Yes,Yes,Very close
405,Female,80.0,1st Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,3-5,1,0,No,No,Close
